,La,Lo,Frq
AC,-8.77,-70.55,2
AL,-9.71,-35.73,5
AM,-3.07,-61.66,6
AP,1.41,-51.77,0
BA,-12.96,-38.51,25
CE,-3.71,-38.54,13
DF,-15.83,-47.86,25
ES,-19.19,-40.34,18
GO,-16.64,-49.31,15
MA,-2.55,-44.3,5
MT,-12.64,-55.42,11
MS,-20.51,-54.54,10
MG,-18.1,-44.38,56
PA,-5.53,-52.29,9
PB,-7.06,-35.55,4
PR,-24.89,-51.55,12
PE,-8.28,-35.07,2
PI,-8.28,-43.68,54
RJ,-22.84,-43.15,57
RN,-5.22,-36.52,4
RO,-11.22,-62.8,2
RS,-30.01,-51.22,26
RR,1.89,-61.22,1
SC,-27.33,-49.44,13
SE,-10.9,-37.07,5
SP,-23.55,-46.64,100
TO,-10.25,-48.25,1
