,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Frequencia
1.0,13,10,13,11,10,7,64
2.0,12,6,6,4,7,10,45
3.0,6,18,11,4,12,13,64
4.0,16,5,10,8,14,2,55
5.0,15,21,6,15,12,11,80
6.0,10,10,6,9,11,8,54
7.0,11,5,6,10,8,6,46
8.0,9,18,10,10,6,9,62
9.0,9,11,7,8,6,8,49
10.0,12,13,13,7,17,11,73
11.0,9,12,10,7,10,7,55
12.0,10,11,10,6,15,8,60
13.0,7,7,10,9,11,9,53
14.0,5,7,9,7,13,13,54
15.0,6,9,10,5,10,8,48
16.0,7,5,9,11,8,14,54
17.0,13,10,6,9,6,17,61
18.0,6,9,11,7,10,5,48
19.0,9,5,12,3,6,8,43
20.0,8,6,9,6,4,11,44
21.0,7,11,4,8,4,9,43
22.0,4,8,5,8,7,8,40
23.0,5,7,12,11,12,14,61
24.0,10,10,12,11,10,6,59
25.0,12,9,7,6,6,8,48
26.0,8,7,2,7,2,8,34
27.0,8,11,14,8,5,13,59
28.0,11,7,6,9,8,7,48
29.0,8,10,9,12,8,7,54
30.0,8,4,6,6,5,6,35
31.0,4,6,5,6,6,4,31
32.0,6,11,8,8,9,11,53
33.0,10,11,11,13,12,10,67
34.0,6,10,15,12,6,9,58
35.0,12,7,8,6,10,7,50
36.0,7,7,7,14,10,13,58
37.0,12,9,12,17,6,4,60
38.0,8,2,8,9,14,10,51
39.0,7,9,10,8,5,10,49
40.0,5,8,7,10,7,8,45
41.0,10,6,7,5,9,12,49
42.0,10,13,7,8,10,10,58
43.0,7,9,8,9,7,6,46
44.0,9,9,8,5,6,7,44
45.0,6,10,5,8,12,8,49
46.0,6,8,4,7,9,7,41
47.0,6,10,9,4,6,6,41
48.0,12,6,7,8,9,9,51
49.0,14,6,8,12,10,7,57
50.0,6,3,6,9,5,5,34
51.0,8,7,9,7,13,4,48
52.0,7,6,5,8,8,8,42
53.0,7,7,9,13,7,10,53
54.0,7,7,12,15,8,3,52
55.0,4,5,5,6,5,9,34
56.0,11,11,6,9,7,9,53
57.0,7,6,8,7,9,9,46
58.0,5,8,14,8,6,5,46
59.0,8,4,12,8,5,7,44
60.0,4,2,4,4,6,7,27
